id,name,jenis,rayon_code,korlap,gps_lat,gps_lng
57699de1-45e1-511c-9cb7-b44dc8f525db,Jl. Kupang Jaya - Pulau 1 (TL sampai Kimia Farma),street,BARAT1,,-7.27584370,112.70722510
ba72888c-3f9b-5823-ab27-9398b6e0baa1,Jl. Kupang Jaya - Pulau 2 (Depan Fuma Aquarium sampai Lawson),street,BARAT1,,-7.27577107,112.70641264
62fa64fa-c2cf-5230-bae4-d6c2485fbd8a,Jl. Kupang Jaya - Pulau 3 (Depan ATM BNI sampai PT Lisa),street,BARAT1,,-7.27552792,112.70530615
919122db-f6db-5fdb-be80-93a6bc5a309d,Jl. Kupang Jaya - Pulau 4 (Depan Mr D.I.Y sampai Sariwana),street,BARAT1,,-7.27500507,112.70389994
def06e23-927a-50ce-a756-d177b7328846,Jl. Kupang Jaya - Pulau 5 (Depan JNT sampai Bakso Empat Putra),street,BARAT1,,-7.27481218,112.70229206
5fca2399-ad6f-5561-8751-11f56f076f34,Jl. Kupang Jaya - Pulau 6 (Depan Seafood Cahaya sampai TL),street,BARAT1,,-7.27445765,112.69989412
d79b887a-8b6c-580f-95d5-3bf9f82bf0a1,Jl. Kupang Jaya - Rotonde Sinom,street,BARAT1,,-7.27421752,112.69950795
3b292b0b-6745-5ae6-baec-b5674c4c90c1,Jl. Lidah Wetan Sisi Selatan 1,street,BARAT1,,-7.30878847,112.67308514
cb574160-9441-50a6-ad7b-5b9fb3ec862e,Jl. Lidah Wetan Sisi Selatan 2,street,BARAT1,,-7.30854039,112.67202929
9d42ca43-59db-524b-ab17-24f9570a64e6,Jl. Lidah Wetan Sisi Selatan 3,street,BARAT1,,-7.30840805,112.67146832
9ad4c429-690b-569a-bcf8-4959e89d5898,Jl. Lidah Wetan Sisi Utara 1,street,BARAT1,,-7.30873373,112.67317507
03608d80-0465-5015-9597-d84ced873cf0,Jl. Lidah Wetan Sisi Utara 2,street,BARAT1,,-7.30845417,112.67201843
c75ad15b-6973-56cf-b19e-9afba684be7b,Jl. Lidah Wetan Sisi Utara 3,street,BARAT1,,-7.30833083,112.67148539
d9ed7381-0362-5647-8335-171bfe374e02,Jl. Mayjend Hr Muhammad - Jalur Tepi Utara,street,BARAT1,,-7.28391665,112.69137599
b1ca81db-0abc-53c6-8a8b-ca50a7cabe97,Jl. Mayjend Hr Muhammad - Pulau 1,street,BARAT1,,-7.28656749,112.70152846
8fb4bba4-c299-5491-925e-af9a76ef6547,Jl. Mayjend Hr Muhammad - Pulau 2,street,BARAT1,,-7.28561844,112.69754383
1ca8d08c-ef47-5140-b552-195d1ef89feb,Jl. Mayjend Hr Muhammad - Pulau 3,street,BARAT1,,-7.28470450,112.69376246
3712e89c-810f-5ed3-b84e-aacf219820cf,Jl. Mayjend Hr Muhammad - Pulau 4,street,BARAT1,,-7.28399928,112.69134280
d2d99808-1b19-5f73-9633-bf4377113099,Jl. Mayjend Hr Muhammad - Pulau 5,street,BARAT1,,-7.28334496,112.68909033
d6c77b0d-cfad-5272-868e-0d6f1f41028a,Jl. Mayjend Hr Muhammad - Pulau 6,street,BARAT1,,-7.28295739,112.68697934
c854e862-29b4-55ca-82bd-7eea06594313,Jl. Mayjend Hr Muhammad - Pulau 7,street,BARAT1,,-7.28202121,112.68532399
05729bd9-e4b9-509f-b9b5-c758115c7325,Jl. Mayjend Hr Muhammad - Pulau 8,street,BARAT1,,-7.28103970,112.68456560
72d9e738-bc25-51aa-87cc-327da4465961,Jl. Mayjend Jonosoewoyo - Pulau 1 (Depan SMAK Petra 1 sampai Warung Pak Umar Loop),street,BARAT1,,-7.29176324,112.67612625
262913b6-a8e1-5deb-a73e-a51407282dbf,Jl. Mayjend Jonosoewoyo - Pulau 2 (Depan House Of Valentino sampai Fave Hotel),street,BARAT1,,-7.29435522,112.67563920
5d62e8ea-1b86-5f6f-9648-0e372f41e691,Jl. Mayjend Jonosoewoyo - Pulau 3 (Depan Bon Cafe sampai Bundaran),street,BARAT1,,-7.29697679,112.67554945
152fcf10-ad0e-59f6-93e2-fc8af82f4c5e,Jl. Mayjend Jonosoewoyo - Pulau 4 (Depan Unesa sampai perbatasan waduk Unesa),street,BARAT1,,-7.29942160,112.67555820
9c893088-0ec5-5f28-a588-39de0a013a16,Jl. Mayjend Jonosoewoyo - Pulau Ujung Utara TL,street,BARAT1,,-7.28155846,112.68444065
6c044938-9c94-5304-85d6-041e26a4c2b9,Jl. Mayjend Sungkono - Sepanjang Jalur Tepi Selatan,street,BARAT1,,-7.28946019,112.71029328
498987d1-2b2c-5ee9-bd70-7e3f2e25f36f,Jl. Mayjend Sungkono - Sepanjang Jalur Tepi Utara,street,BARAT1,,-7.28919491,112.71031858
4a0f0e30-cf73-538b-96bc-de6478625d33,Jl. Mayjend Sungkono - Sepanjang Jalur Tepi Utara,street,BARAT1,,-7.29119366,112.71644209
fc7507c4-6f64-5071-b643-27f16b0b700e,Jl. Mayjend Sungkono - Sepanjang Jalur Tepi Utara,street,BARAT1,,-7.29153421,112.71824293
367604e4-24d4-5783-a475-46e50fe46c96,Jl. Patimura - Belakang Pos Polisi,street,BARAT1,,-7.27791478,112.69685564
497aba56-2b03-5156-930a-19fee874e822,Jl. Patimura - Belakang Pos Polisi,street,BARAT1,,-7.27484845,112.69844078
04de20e3-d682-5815-9d9b-e352cc8567ab,Jl. Pattimura - Belakang Pos Polisi S.D Depan Sctv,street,BARAT1,,-7.27588408,112.69840669
4584b34d-320b-5bf7-b666-3d60baa0c209,Jl. Pattimura - Belakang Pos Polisi S.D Depan Sctv,street,BARAT1,,-7.27683117,112.69813517
91ac6002-1ccd-5d1a-910f-8d33c78d7807,Jl. Pattimura - IPH S.D Plaza Segi Delapan,street,BARAT1,,-7.27529050,112.69381171
3d7072df-7f1c-5f1e-9c4a-acc332b13fc4,Jl. Puncak Permai,street,BARAT1,,-7.27845518,112.69478337
